"fullName","parkCode","Entrance_Fee_Per_Vehicle","Entrance_Fee_Per_Person","Entrance_Fee_Per_Motorcycle","Timed_Entry_Required","Cost_Description"
"Channel Islands National Park","chis",NA,NA,NA,FALSE,""
"Congaree National Park","cong",NA,NA,NA,FALSE,""
"Crater Lake National Park","crla",30,15,25,FALSE,"This is the summer entrance fee and is charged from mid-May through the end of October.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days. | This is the winter entrance fee.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Summer rate from mid-May to October 31st. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Winter rate from 11/1 through mid-May. | Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Good for 7 days. | Admits one individual on a snowmobile for travel on snow covered North Entrance Road closed to regular vehicle traffic. Youth 15 and under are admitted free of charge. Good for 7 days. | Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.  In addition to the $25 per vehicle there is also a $15 per passenger charge. | Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board."
"Cuyahoga Valley National Park","cuva",NA,NA,NA,FALSE,""
"Death Valley National Park","deva",30,15,25,FALSE,"All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows all persons traveling in one single private, non-commercial vehicle (car/truck/van/RV/aircraft) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase. | All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows all persons traveling on 2 private, non-commercial motorcycles to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase. | All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows a single individual traveling on foot or individuals traveling on one bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase. | 1 - 15 Passenger Vehicle: $15 per person.

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more. | 16 - 25 Passenger Vehicle: $100

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more. | 26 + Passenger Vehicle: $200

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more. | Non-commercial Groups (e.g., Scout groups, church groups, etc.) entering in a vehicle with a capacity of 16 persons or more are charged per-person for each person on board, not to exceed $200. | National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for educational or scientific purposes, and the resources or facilities that the group intends to use, support those purposes. Submit your waiver through the link below at least one month prior to your visit."
"Denali National Park & Preserve","dena",NA,15,NA,FALSE,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff."
"Dry Tortugas National Park","drto",NA,15,NA,FALSE,"The entrance fee for Dry Tortugas National Park is $15.00 per person and is good for 7 consecutive days. Any person 15 years old and under is exempt from paying an entrance fees (including international visitors).

Ferry tickets include the cost of entrance to the park, but NOT camping fees.

Seaplane will charge the entrance fee upon arrival. Plan to bring cash for each person aged 16-years of age and older.

Private boaters may purchase a digital pass in advance or pay cash/check at Garden Key main dock."
"Everglades National Park","ever",35,20,30,FALSE,"Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, pedestrian, or human-powered paddlecraft, when not arriving in a vehicle or vessel. Individuals 15 years old and younger, are admitted free of charge. | All accredited educational and scientific institutions are eligible to receive free entrance to the park. Bringing your classroom to the park can present many unique learning opportunities and novel ways for your students to advance their studies. The Federal Lands Recreation Enhancement Act (FLREA), Public Law 108-447, provides the National Park Service statutory authority to allow “outings conducted for non-commercial educational purposes by schools or bona fide academic institutions.” | A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group. | Each non-US resident aged 16 and older visiting Everglades National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Gates Of The Arctic National Park & Preserve","gaar",NA,NA,NA,FALSE,""
"Gateway Arch National Park","jeff",NA,NA,NA,FALSE,"Prices vary by date of visit. 

Begin your tour with an interactive pre-boarding experience featuring 60s-inspired animation and Gateway Arch trivia. Then, be transported 630 feet to the top of Arch for exhilarating views. Please allow 45 - 60 minutes for your Tram Ride to the Top experience.

Adult (16 and up): Starting at $15

Child (3-15): Starting at $11

Infant (2 and under): FREE

Park Pass Holder: Starting at $12

Tickets available at www.gatewayarch.com"
"Glacier Bay National Park & Preserve","glba",NA,NA,NA,FALSE,""
"Glacier National Park","glac",35,20,30,FALSE,"(Winter Rate - $25.00, November 1 to April 30)
This is an entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The pass is good for seven days and is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park pass. | (Winter Rate - $15.00, November 1 to April 30)
This is a per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group. The pass is good for seven days and is non-transferable. | (Winter Rate - $20.00, November 1 to April 30)
Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Sedan entrance fee is $25, plus $20 per person, 16 years of age or older. The pass is good for seven days and is non-transferable. | Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Van entrance fee is $75 regardless of occupancy. The pass is good for seven days and is non-transferable. | Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Mini-bus entrance fee is $100 regardless of occupancy. The pass is good for seven days and is non-transferable. | Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Motor Coach fee is $200 regardless of occupancy. The pass is good for seven days and is non-transferable. | Each non-US resident aged 16 and older visiting Glacier National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Grand Canyon National Park","grca",35,20,30,FALSE,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Individual ($20 valid for 7 days): for bicyclists, hikers, and pedestrians. | Each non-US resident aged 16 and older visiting Grand Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Grand Teton National Park","grte",35,20,30,FALSE,"Park entrance fee for 7 days for a private, non-commercial vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Park entrance fee for 7 days for each visitor 16 years and older entering by foot, bicycle, ski, etc. | A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

The cost is $25 + $20 per person. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group. | Schools or other bona fide educational institutions (accredited, officially recognized, or tax exempt for educational purposes) may request an educational fee waiver. The fee waiver will allow qualifying groups free entry into the park for educational or scientific purposes. Prior approval required before entry to park. See additional <a href=""https://www.nps.gov/grte/planyourvisit/eduwaiver.htm"">Education Fee Waiver</a> page. | Each non-US resident aged 16 and older visiting Grand Teton National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Great Basin National Park","grba",NA,NA,NA,FALSE,""
"Great Sand Dunes National Park & Preserve","grsa",25,15,20,FALSE,"Fees are charged only when the entrance station is open in the spring, summer, and fall seasons or when the visitor center is open in the winter season. Fees can be paid by cash, check, or credit card. Passes may also be purchased in advance online through recreation.gov . | 15+ passenger vehicle, age 16+ | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | This fee is for a commercial group of 1-6 people in a smaller vehicle. Valid for 7 days. | This fee is for a commercial group of 7-15 persons in a van. Valid for 7 days. | This fee is for a commercial group of 16-25 persons in a mini-bus. Valid for 7 days. | This fee is for a commercial motor coach with 26+ capacity. Valid for 7 days. | Entrance Fee for Bicycles or Walk-In Visitors"
"Great Smoky Mountains National Park","grsm",NA,NA,NA,FALSE,""
"Guadalupe Mountains National Park","gumo",NA,10,NA,FALSE,"An entrance fee of $10 per person (16 years of age and older) is required; entrance fees/passes permit 1-7 consecutive days of use in this national park. Holders of the Annual, Senior, Military, 4th grade and Access Pass can bring in 3 adults free of charge under their pass. Any pass must be displayed in a vehicle while in the national park. | Entrance fee waivers are available to groups when the purpose of their visit is educational rather than recreational. Completed applications along with required documentation must be submitted via email. 
Fee waiver requests must be submitted at least six weeks before a scheduled visit to allow for consideration."
"Haleakalā National Park","hale",30,15,25,FALSE,"Valid for 3 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to Haleakalā National Park, including both the Summit and Kīpahulu Districts. | Valid for three days. Admits private, non-commercial vehicle (14 max capacity or less) and all occupants to Haleakalā National Park including both the Summit and Kīpahulu Districts. | Admits one individual with no car to Haleakalā National Park including both the Summit and Kīpahulu Areas. Youth 15 and under are admitted free. | $15.00 per person for non-road based organized groups that offer activities such as Astronomy and Hiking. | $30.00 plus, $15.00 per person for road based tour vehicles, such as sedans, with a passenger carrying capacity of 1-7 people. | $45.00 for road based tour vehicles, such as large vans and mini buses, with a passenger carrying capacity of 8-25 people. | A reservation is required for each vehicle entering the park from 3:00 a.m. to 7:00 a.m. You may book a reservation up to 60 days in advance and 2 days in advance of the start date."
"Hawaiʻi Volcanoes National Park","havo",30,15,25,FALSE,"Private Vehicle Pass - The private vehicle pass admits the passholder and up to 14 passengers of a single, private (non-commercial) vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Pedestrian/Cyclist Pass - Admits one individual bicyclist, hiker, or pedestrian visiting without a private vehicle. An individual pass is not required for visitors aged 15 and under. | The commercial entrance fee for a Road Based Guided Tour is based on vehicle seating capacity. For a 16-25 passenger vehicle the user fee is $100. | The commercial entrance fee for a Road Based Guided Tour is based on vehicle seating capacity. For a 26+ passenger vehicle the user fee is $200. 

Large vehicles, defined as more than 26 feet in length and/or more than eight feet wide, are only allowed to operate on Crater Rim Drive to Kilauea Visitor Center, Kūkamāhuākea (Steam Vents), and Uēkahuna. Mauna Loa Road to the Kīpukapuaulu turnabout. | $15 per person for Commercial Non-Road Based Guided Tours. This includes hiking more than one mile on one trail, bird watching on foot for more than one hour at one location, and/or or bicycling tours."
"Hot Springs National Park","hosp",NA,NA,NA,FALSE,""
"Indiana Dunes National Park","indu",25,15,20,FALSE,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | 7-Day Park Entrance Fee - Family-Size Vehicle

Per private family-sized vehicle (valid for 1-7 days from date of purchase). | 7-Day Per Person Entrance Fee (Organized, non-commercial groups)

Visitors 16 years of age or older who enter on foot, bicycle, boat, or as part of an organized group not involved in a commercial tour. | Entry for commercial sedans with 6 or less people. 

Cost is $25.00 plus $15 per person (not to exceed next highest rate). | Commercial Tour Fee - Van (7-15 persons) - $40.00

Entry for commercial vans with 7-15 people. | Commercial Tour Fee - Mini Bus (16-25 persons) - $40.00

Entry for commercial mini bus with 16-25 people. | Commercial Tour Fee - Motor Coach (26+ persons) - $100.00
Entry for commercial motor coaches with 26+ persons."
"Isle Royale National Park","isro",NA,7,NA,FALSE,"$7 per person per day to enter or remain in Isle Royale National Park. Children 15 and younger are exempt.

Visiting Park Headquarters in Houghton, MI does not require a fee."
"Joshua Tree National Park","jotr",30,15,25,FALSE,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | 7-day entrance fee, per person on foot or bike."
"Katmai National Park & Preserve","katm",NA,NA,NA,FALSE,""
"Kenai Fjords National Park","kefj",NA,NA,NA,FALSE,""
"Kobuk Valley National Park","kova",NA,NA,NA,FALSE,""
"Lake Clark National Park & Preserve","lacl",NA,NA,NA,FALSE,""
"Lassen Volcanic National Park","lavo",30,15,25,FALSE,"Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Discounted entry fee during winter. Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Park entrance fees are waived for eligible academic groups with approved fee waiver application. Applications must be submitted at least two weeks prior to park visit. | Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted. | Discounted entry fee for winter. Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Discounted entry fee for winter. Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
"Mammoth Cave National Park","maca",NA,NA,NA,FALSE,""
"Mesa Verde National Park","meve",30,15,25,FALSE,"Valid for 7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
"Mount Rainier National Park","mora",30,15,25,FALSE,"Grants unlimited entry for one vehicle and passengers for seven consecutive days. Vehicle must be private, noncommercial, and with a seating capacity of 15 or less. | Walk-up or single bicycle fee. Grants unlimited entry for seven consecutive days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per client. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. NOTE: There are no current road restrictions for unmodified motor coaches of the standard length in the park. However, be aware that roads in the park are steep, narrow, and winding. In particular, it is recommended that RVs and vehicles with trailers longer than 25 feet LOA not travel up the Sunrise Road beyond the White River Campground intersection."
"National Park of American Samoa","npsa",NA,NA,NA,FALSE,""
"New River Gorge National Park & Preserve","neri",NA,NA,NA,FALSE,""
"North Cascades National Park","noca",NA,NA,NA,FALSE,""
"Olympic National Park","olym",30,15,25,FALSE,"Valid for seven consecutive days. Applies to private, non-commercial vehicles (15 passenger capacity or less). The pass covers all vehicle occupants. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Valid for seven consecutive days. This fee admits one person without a vehicle, including hikers, bicyclists, and pedestrians. Individuals fifteen years or younger are admitted free of charge. | A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service."
"Petrified Forest National Park","pefo",25,15,20,FALSE,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Valid for 7 days. | Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | $25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 7 to 15 passengers - $50 (Vans).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 16-25 passengers - $60

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 26+ passengers - $150 (Large tour buses, motorcoaches).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 16 or more $15/person.  Anyone that is 15 or younger is exempt from paying an entrance fee, in addition to anyone with a valid pass. A pass may cover immediate family members or up to 4 people traveling with the group.

A non-commercial organized group is a group traveling together, such as scouts, a club, a church, or other group that has organized its own itinerary. Fees are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
